16;Планета любви;1992;;Джон Риман;;Адам — обычный парень, он живёт в Лос-Анджелесе и готовится к свадьбе со своей невестой Бэт. Но у Адама есть одна странность — он слишком увлечён проблемой вселенского мироздания. Дело доходит до откровенной крайности — Адам отказывается от секса со своей подругой Бэт. В день свадьбы Адам бросает невесту перед алтарём и отправляется в пустыню Мохаве, для того чтобы предаться там философским размышлениям над смыслом жизни. В то время в пустыне проходят военные учения, и родные Адама думают, что он попал под огонь и погиб. Адам же жив-живёхонек и путешествует по стране, встречая различных людей, которые помогают ему преодолеть его психологический кризис. Особенно полезными Адаму оказываются двое: житель пустыни, который имеет своё оригинальное мировозрение, и женщина из Восточной Европы, которая возвращает парню радости секса.;Дуайр Браун,Келси Грэммер,Сьюзэн Уолтерс,Карен Медак,Джим Уорд,Руди Хорниш,Рик Овертон,Мэй Куигли,Стив Рагглз,Рик Ливингстон
17;Модная мамочка;2004;6.912;Гэрри Маршалл;50000000;После гибели сестры на Хелен ложится забота о трех племянниках: тинэйджере Одри, десятилетнем Генри и совсем маленькой Саре. Быть помощницей директора модельного агентства нелегко, а заботиться о «свалившихся с неба» родственниках еще труднее. Осложняет все дело внезапный бурный роман с местным пастором Дэном…;Кейт Хадсон,Джон Корбетт,Джоан Кьюсак,Хайден Панеттьери,Спенсер Бреслин,Эбигейл Бреслин,Хелен Миррен,Сакина Джэффри,Кевин Килнер,Фелисити Хаффман
18;Луни Тюнз: Снова в деле;2003;6.15;Джо Данте;80000000;Анимационные герои: Багс Банни и Даффи Дак — в реальной жизни! Поиски пропавшего человека и огромного мифического алмаза приводят Багса и Даффи сначала в Лас-Вегас, а затем в непроходимые джунгли Африки…;Брендан Фрейзер,Дженна Элфман,Стив Мартин,Тимоти Далтон,Хэзер Локлир,Джоан Кьюсак,Билл Голдберг,Дон Стэнтон,Дэн Стэнтон,Дик Миллер
19;Школа рока;2003;7.157;Ричард Линклейтер;35000000;После нескольких лет подъема блестящая карьера рок-звезды Дьюи Финна заканчивается полным провалом. Все, что его теперь ждет, это неоплаченные долги и тяжелая депрессия. Но, перехватив не предназначавшийся ему телефонный звонок и придя в изумление от зарплаты (650 долларов в неделю), Дьюи устраивается работать в частную школу. Его отношение к музыке и детям творит там чудеса, и вскоре появляется возможность начать звездную карьеру заново. Нужно только выиграть конкурс лучших рок-групп — и все проблемы легко разрешатся. Дьюи полон оптимизма, ведь вместе с ним его новый друг — девятилетний Зак, виртуозно играющий на гитаре!;Джек Блэк,Джоан Кьюсак,Майк Уайт,Сара Силверман,Адам Паскаль,Лукас Папаэлиас,Крис Стэк,Лукас Бабин,Джордан-Клэр Грин,Вероника Аффлербах
20;Сбежавшая невеста;1999;6.789;Гэрри Маршалл;70000000;Бывает у красоток одна нехорошая привычка — сбегать со свадеб. Вот и Мэгги, влюбившись и отправившись под венец, не выдержала и не дошла до алтаря всего несколько шагов. На такую выходку еще можно было бы закрыть глаза, если бы это случилось один раз. Но Мэгги проделала этот фокус четырежды! И вскоре она уже потеряла бы счет разбитым сердцам, если бы на пути вертихвостки не встал знаменитый журналист Айк. Однако, и ему не суждено было устоять перед чарами красавицы. Станет ли он очередной жертвой Мэгги, или тертому репортеру удастся все-таки окольцевать ветренную невесту?;Джулия Робертс,Ричард Гир,Джоан Кьюсак,Гектор Элизондо,Рита Уилсон,Пол Дули,Кристофер Мелони,Донал Лог,Рег Роджерс,Юл Васкес
21;Дорога на Арлингтон;1998;7.493;Марк Пеллингтон;31000000;Интеллигентный профессор Майкл Фарадей, в одиночку воспитывающий своего сына после трагической гибели жены во время рейда ФБР, и не представляет, какой крутой поворот вскоре совершит его судьба. Знакомство с милой соседской семьей помогает Майклу оправиться от потрясения и вернуться к нормальной жизни. Однако чем дольше Майкл общается с новыми друзьями, тем больше необъяснимых сомнений и тревог появляется в его душе. Поймав несколько раз соседа на мелкой лжи, Майкл решает выяснить все об этом человеке. И его открытия оказываются гораздо страшнее, чем он мог себе вообразить.;Джефф Бриджес,Тим Роббинс,Джоан Кьюсак,Хоуп Дэвис,Роберт Госсетт,Мейсон Гэмбл,Спенсер Трит Кларк,Стенли Андерсон,Вивиан Вайвз,Ли Стрингер
22;Вход и выход;1997;6.901;Фрэнк Оз;35000000;Накануне свадьбы скромного преподавателя литературы в провинциальном городке его выпускник, ныне голливудская кинозвезда, на церемонии вручения премии «Оскар» в порыве чувств на весь мир произносит слова благодарности своему «голубому» другу учителю. Маленький городок в шоке. Казалось бы, жизнь и карьера героя разбиты… Но тут на помощь приходит тот самый оскаровский лауреат… Невероятные события сотрясают тихий городишко…;Кевин Клайн,Джоан Кьюсак,Том Селлек,Мэтт Диллон,Дебби Рейнолдс,Уилфорд Бримли,Боб Ньюхарт,Грегори Джбара,Шалом Харлоу,Шон Хэтоси
23;Улыбка, как у тебя;1997;6.042;Кит Сэмплз;18000000;У семейной пары Робертсонов из Сан-Франциско все в порядке. Денни и Дженнифер любят друг друга, у них есть все: милый дом, интересная работа и преданные друзья. Почти идеальный мир… И для полного счастья Дженнифер решила завести ребенка.;Грег Киннир,Лорен Холли,Джоан Кьюсак,Джей Томас,Джилл Хеннесси,Кристофер Макдональд,Дональд Моффет,Франс Нуйен,Марианн Мюллерлейл,Шеридан Сэмплз
24;Убийство в Гросс-Пойнте;1997;6.665;Джордж Эрмитаж;15000000;Мартин Блэнк приезжает на встречу выпускников в свой родной городок Гросс-Пойнт. У него богатые планы на этот вечер: он должен помириться со своей бывшей девушкой, которую не видел десять лет, а заодно, чтобы совместить приятное с полезным — совершить убийство. Ведь в отличие от остальных одноклассников, Мартин выбрал карьеру профессионального киллера, и в Гросс-Пойнте его ждет очередное задание. И не только его… За Мартином уже давно охотятся два правительственных агента и конкурент, которые не дадут гостям скучать.;Джон Кьюсак,Минни Драйвер,Алан Аркин,Дэн Эйкройд,Джоан Кьюсак,Хэнк Азария,К. Тодд Фриман,Джереми Пивен,Митчелл Райан,Майкл Кудлиц
25;Двое – это слишком;1995;6.661;Фернандо Труэба;24000000;У Арта Доджа полоса неудач: кругом долги и, похоже, придется жениться на богатой. Но нравится — то ему сестра невесты — Лиз! И Арт решает, что есть только один способ завоевать ее сердце — стать другим человеком! Совсем другим, например, братом-близнецом Бартом! Проблема только в том, что сестры живут в одном доме….;Антонио Бандерас,Мелани Гриффит,Дэрил Ханна,Дэнни Айелло,Джоан Кьюсак,Илай Уоллак,Габино Диего,Остин Пендлтон,Аллан Рич,Винсент Скьявелли
26;Девять месяцев;1995;6.452;Крис Коламбус;;"Молодая счастливая пара из Сан-Франциско — детский психотерапевт Сэмуэл и учительница танцев Ребекка вместе уже пять лет. Ребекка, как всякая нормальная женщина, мечтает о ребенке. Сэмуэл же боится перемен. Начинается отсчет девяти месяцев беременности.  
 
Друг Сэмуэля, художник-неудачник, расстался с своей любимой, потому что не хотел иметь детей. Он говорит, что неожиданная беременность — нож в спину мужчины, и на это способны только низкие и подлые женщины. Между влюбленными начинаются ссоры, потому что необходимо искать большую квартиру, большую машину, избавиться от кота.  
 
Ребекка решает, что уйдет от Сэмуэла, если тот не смирится с мыслью о ребенке.";Хью Грант,Джулианна Мур,Том Арнольд,Джоан Кьюсак,Джефф Голдблюм,Робин Уильямс,Миа Коттет,Джои Симмрин,Эшли Джонсон,Алекса ПенаВега
